question_text,trait,facet,weight,reverse_scoring,is_active,source
Worry about things.,N,Anxiety,1,False,True,IPIP-120
Fear for the worst.,N,Anxiety,1,False,True,IPIP-120
Am afraid of many things.,N,Anxiety,1,False,True,IPIP-120
Get stressed out easily.,N,Anxiety,1,False,True,IPIP-120
Get angry easily.,N,Anger,1,False,True,IPIP-120
Get irritated easily.,N,Anger,1,False,True,IPIP-120
Lose my temper.,N,Anger,1,False,True,IPIP-120
Am not easily annoyed.,N,Anger,1,True,True,IPIP-120
Often feel blue.,N,Depression,1,False,True,IPIP-120
Dislike myself.,N,Depression,1,False,True,IPIP-120
Am often down in the dumps.,N,Depression,1,False,True,IPIP-120
Feel comfortable with myself.,N,Depression,1,True,True,IPIP-120
Find it difficult to approach others.,N,Self-Consciousness,1,False,True,IPIP-120
Am afraid to draw attention to myself.,N,Self-Consciousness,1,False,True,IPIP-120
Only feel comfortable with friends.,N,Self-Consciousness,1,False,True,IPIP-120
Am not bothered by difficult social situations.,N,Self-Consciousness,1,True,True,IPIP-120
Go on binges.,N,Immoderation,1,False,True,IPIP-120
Rarely overindulge.,N,Immoderation,1,True,True,IPIP-120
Easily resist temptations.,N,Immoderation,1,True,True,IPIP-120
Am able to control my cravings.,N,Immoderation,1,True,True,IPIP-120
Panic easily.,N,Vulnerability,1,False,True,IPIP-120
Become overwhelmed by events.,N,Vulnerability,1,False,True,IPIP-120
Feel that I'm unable to deal with things.,N,Vulnerability,1,False,True,IPIP-120
Remain calm under pressure.,N,Vulnerability,1,True,True,IPIP-120
Make friends easily.,E,Friendliness,1,False,True,IPIP-120
Feel comfortable around people.,E,Friendliness,1,False,True,IPIP-120
Avoid contacts with others.,E,Friendliness,1,True,True,IPIP-120
Keep others at a distance.,E,Friendliness,1,True,True,IPIP-120
Love large parties.,E,Gregariousness,1,False,True,IPIP-120
Talk to a lot of different people at parties.,E,Gregariousness,1,False,True,IPIP-120
Prefer to be alone.,E,Gregariousness,1,True,True,IPIP-120
Avoid crowds.,E,Gregariousness,1,True,True,IPIP-120
Take charge.,E,Assertiveness,1,False,True,IPIP-120
Try to lead others.,E,Assertiveness,1,False,True,IPIP-120
Take control of things.,E,Assertiveness,1,False,True,IPIP-120
Wait for others to lead the way.,E,Assertiveness,1,True,True,IPIP-120
Am always busy.,E,Activity Level,1,False,True,IPIP-120
Am always on the go.,E,Activity Level,1,False,True,IPIP-120
Do a lot in my spare time.,E,Activity Level,1,False,True,IPIP-120
Like to take it easy.,E,Activity Level,1,True,True,IPIP-120
Love excitement.,E,Excitement-Seeking,1,False,True,IPIP-120
Seek adventure.,E,Excitement-Seeking,1,False,True,IPIP-120
Enjoy being reckless.,E,Excitement-Seeking,1,False,True,IPIP-120
Act wild and crazy.,E,Excitement-Seeking,1,False,True,IPIP-120
Radiate joy.,E,Cheerfulness,1,False,True,IPIP-120
Have a lot of fun.,E,Cheerfulness,1,False,True,IPIP-120
Love life.,E,Cheerfulness,1,False,True,IPIP-120
Look at the bright side of life.,E,Cheerfulness,1,False,True,IPIP-120
Have a vivid imagination.,O,Imagination,1,False,True,IPIP-120
Enjoy wild flights of fantasy.,O,Imagination,1,False,True,IPIP-120
Love to daydream.,O,Imagination,1,False,True,IPIP-120
Like to get lost in thought.,O,Imagination,1,False,True,IPIP-120
Believe in the importance of art.,O,Artistic Interests,1,False,True,IPIP-120
See beauty in things that others might not notice.,O,Artistic Interests,1,False,True,IPIP-120
Do not like poetry.,O,Artistic Interests,1,True,True,IPIP-120
Do not enjoy going to art museums.,O,Artistic Interests,1,True,True,IPIP-120
Experience my emotions intensely.,O,Emotionality,1,False,True,IPIP-120
Feel others' emotions.,O,Emotionality,1,False,True,IPIP-120
Rarely notice my emotional reactions.,O,Emotionality,1,True,True,IPIP-120
Don't understand people who get emotional.,O,Emotionality,1,True,True,IPIP-120
Prefer variety to routine.,O,Adventurousness,1,False,True,IPIP-120
Prefer to stick with things that I know.,O,Adventurousness,1,True,True,IPIP-120
Dislike changes.,O,Adventurousness,1,True,True,IPIP-120
Am attached to conventional ways.,O,Adventurousness,1,True,True,IPIP-120
Love to read challenging material.,O,Intellect,1,False,True,IPIP-120
Avoid philosophical discussions.,O,Intellect,1,True,True,IPIP-120
Have difficulty understanding abstract ideas.,O,Intellect,1,True,True,IPIP-120
Am not interested in theoretical discussions.,O,Intellect,1,True,True,IPIP-120
Tend to vote for liberal political candidates.,O,Liberalism,1,False,True,IPIP-120
Believe that there is no absolute right and wrong.,O,Liberalism,1,False,True,IPIP-120
Tend to vote for conservative political candidates.,O,Liberalism,1,True,True,IPIP-120
Believe that we should be tough on crime.,O,Liberalism,1,True,True,IPIP-120
Trust others.,A,Trust,1,False,True,IPIP-120
Believe that others have good intentions.,A,Trust,1,False,True,IPIP-120
Trust what people say.,A,Trust,1,False,True,IPIP-120
Distrust people.,A,Trust,1,True,True,IPIP-120
Use others for my own ends.,A,Morality,1,True,True,IPIP-120
Cheat to get ahead.,A,Morality,1,True,True,IPIP-120
Take advantage of others.,A,Morality,1,True,True,IPIP-120
Obstruct others' plans.,A,Morality,1,True,True,IPIP-120
Am concerned about others.,A,Altruism,1,False,True,IPIP-120
Love to help others.,A,Altruism,1,False,True,IPIP-120
Am indifferent to the feelings of others.,A,Altruism,1,True,True,IPIP-120
Take no time for others.,A,Altruism,1,True,True,IPIP-120
Love a good fight.,A,Cooperation,1,True,True,IPIP-120
Yell at people.,A,Cooperation,1,True,True,IPIP-120
Insult people.,A,Cooperation,1,True,True,IPIP-120
Get back at others.,A,Cooperation,1,True,True,IPIP-120
Believe that I am better than others.,A,Modesty,1,True,True,IPIP-120
Think highly of myself.,A,Modesty,1,True,True,IPIP-120
Have a high opinion of myself.,A,Modesty,1,True,True,IPIP-120
Boast about my virtues.,A,Modesty,1,True,True,IPIP-120
Sympathize with the homeless.,A,Sympathy,1,False,True,IPIP-120
Feel sympathy for those who are worse off than myself.,A,Sympathy,1,False,True,IPIP-120
Am not interested in other people's problems.,A,Sympathy,1,True,True,IPIP-120
Try not to think about the needy.,A,Sympathy,1,True,True,IPIP-120
Complete tasks successfully.,C,Self-Efficacy,1,False,True,IPIP-120
Excel in what I do.,C,Self-Efficacy,1,False,True,IPIP-120
Handle tasks smoothly.,C,Self-Efficacy,1,False,True,IPIP-120
Know how to get things done.,C,Self-Efficacy,1,False,True,IPIP-120
Like to tidy up.,C,Orderliness,1,False,True,IPIP-120
Often forget to put things back in their proper place.,C,Orderliness,1,True,True,IPIP-120
Leave a mess in my room.,C,Orderliness,1,True,True,IPIP-120
Leave my belongings around.,C,Orderliness,1,True,True,IPIP-120
Keep my promises.,C,Dutifulness,1,False,True,IPIP-120
Tell the truth.,C,Dutifulness,1,False,True,IPIP-120
Break rules.,C,Dutifulness,1,True,True,IPIP-120
Break my promises.,C,Dutifulness,1,True,True,IPIP-120
Do more than what's expected of me.,C,Achievement-Striving,1,False,True,IPIP-120
Work hard.,C,Achievement-Striving,1,False,True,IPIP-120
Put little time and effort into my work.,C,Achievement-Striving,1,True,True,IPIP-120
Do just enough work to get by.,C,Achievement-Striving,1,True,True,IPIP-120
Am always prepared.,C,Self-Discipline,1,False,True,IPIP-120
Carry out my plans.,C,Self-Discipline,1,False,True,IPIP-120
Waste my time.,C,Self-Discipline,1,True,True,IPIP-120
Have difficulty starting tasks.,C,Self-Discipline,1,True,True,IPIP-120
