question_text,trait,facet,weight,reverse_scoring,is_active,source
Worry about things.,N,Anxiety,1,False,True,IPIP-120
Fear for the worst.,N,Anxiety,1,False,True,IPIP-120
Am afraid of many things.,N,Anxiety,1,False,True,IPIP-120
Am not easily bothered by things.,N,Anxiety,1,True,True,IPIP-300
Am relaxed most of the time.,N,Anxiety,1,True,True,IPIP-300
Am not easily disturbed by events.,N,Anxiety,1,True,True,IPIP-300
Don't worry about things that have already happened.,N,Anxiety,1,True,True,IPIP-300
Get angry easily.,N,Anger,1,False,True,IPIP-120
Get irritated easily.,N,Anger,1,False,True,IPIP-120
Lose my temper.,N,Anger,1,False,True,IPIP-120
Am not easily annoyed.,N,Anger,1,True,True,IPIP-120
Rarely get irritated.,N,Anger,1,True,True,IPIP-300
Seldom get mad.,N,Anger,1,True,True,IPIP-300
Keep my cool.,N,Anger,1,True,True,IPIP-300
Often feel blue.,N,Depression,1,False,True,IPIP-120
Dislike myself.,N,Depression,1,False,True,IPIP-120
Am often down in the dumps.,N,Depression,1,False,True,IPIP-120
Feel comfortable with myself.,N,Depression,1,True,True,IPIP-120
Have a low opinion of myself.,N,Depression,1,False,True,IPIP-300
Have frequent mood swings.,N,Depression,1,False,True,IPIP-300
Feel desperate.,N,Depression,1,False,True,IPIP-300
Find it difficult to approach others.,N,Self-Consciousness,1,False,True,IPIP-120
Am afraid to draw attention to myself.,N,Self-Consciousness,1,False,True,IPIP-120
Only feel comfortable with friends.,N,Self-Consciousness,1,False,True,IPIP-120
Am not bothered by difficult social situations.,N,Self-Consciousness,1,True,True,IPIP-120
Am not embarrassed easily.,N,Self-Consciousness,1,True,True,IPIP-300
Am comfortable in unfamiliar situations.,N,Self-Consciousness,1,True,True,IPIP-300
Am able to stand up for myself.,N,Self-Consciousness,1,True,True,IPIP-300
Go on binges.,N,Immoderation,1,False,True,IPIP-120
Often eat too much.,N,Immoderation,1,False,True,IPIP-300
Don't know why I do some of the things I do.,N,Immoderation,1,False,True,IPIP-300
Rarely overindulge.,N,Immoderation,1,True,True,IPIP-120
Easily resist temptations.,N,Immoderation,1,True,True,IPIP-120
Am able to control my cravings.,N,Immoderation,1,True,True,IPIP-120
Panic easily.,N,Vulnerability,1,False,True,IPIP-120
Become overwhelmed by events.,N,Vulnerability,1,False,True,IPIP-120
Feel that I'm unable to deal with things.,N,Vulnerability,1,False,True,IPIP-120
Remain calm under pressure.,N,Vulnerability,1,True,True,IPIP-120
Can handle complex problems.,N,Vulnerability,1,True,True,IPIP-300
Know how to cope.,N,Vulnerability,1,True,True,IPIP-300
Make friends easily.,E,Friendliness,1,False,True,IPIP-120
Feel comfortable around people.,E,Friendliness,1,False,True,IPIP-120
Warm up quickly to others.,E,Friendliness,1,False,True,IPIP-300
Avoid contacts with others.,E,Friendliness,1,True,True,IPIP-120
Keep others at a distance.,E,Friendliness,1,True,True,IPIP-120
Am hard to get to know.,E,Friendliness,1,True,True,IPIP-300
Often feel uncomfortable around others.,E,Friendliness,1,True,True,IPIP-300
Love large parties.,E,Gregariousness,1,False,True,IPIP-120
Talk to a lot of different people at parties.,E,Gregariousness,1,False,True,IPIP-120
Enjoy being part of a group.,E,Gregariousness,1,False,True,IPIP-300
Prefer to be alone.,E,Gregariousness,1,True,True,IPIP-120
Avoid crowds.,E,Gregariousness,1,True,True,IPIP-120
Want to be left alone.,E,Gregariousness,1,True,True,IPIP-300
Don't like crowded events.,E,Gregariousness,1,True,True,IPIP-300
Take charge.,E,Assertiveness,1,False,True,IPIP-120
Try to lead others.,E,Assertiveness,1,False,True,IPIP-120
Take control of things.,E,Assertiveness,1,False,True,IPIP-120
Wait for others to lead the way.,E,Assertiveness,1,True,True,IPIP-120
Keep in the background.,E,Assertiveness,1,True,True,IPIP-300
Have little to say.,E,Assertiveness,1,True,True,IPIP-300
Don't like to draw attention to myself.,E,Assertiveness,1,True,True,IPIP-300
Am always busy.,E,Activity Level,1,False,True,IPIP-120
Am always on the go.,E,Activity Level,1,False,True,IPIP-120
Do a lot in my spare time.,E,Activity Level,1,False,True,IPIP-120
Like to take it easy.,E,Activity Level,1,True,True,IPIP-120
Like to take my time.,E,Activity Level,1,True,True,IPIP-300
Like a leisurely lifestyle.,E,Activity Level,1,True,True,IPIP-300
Let things proceed at their own pace.,E,Activity Level,1,True,True,IPIP-300
Love excitement.,E,Excitement-Seeking,1,False,True,IPIP-120
Seek adventure.,E,Excitement-Seeking,1,False,True,IPIP-120
Enjoy being reckless.,E,Excitement-Seeking,1,False,True,IPIP-120
Act wild and crazy.,E,Excitement-Seeking,1,False,True,IPIP-120
Love action.,E,Excitement-Seeking,1,False,True,IPIP-300
Enjoy being part of a loud crowd.,E,Excitement-Seeking,1,False,True,IPIP-300
Radiate joy.,E,Cheerfulness,1,False,True,IPIP-120
Have a lot of fun.,E,Cheerfulness,1,False,True,IPIP-120
Love life.,E,Cheerfulness,1,False,True,IPIP-120
Look at the bright side of life.,E,Cheerfulness,1,False,True,IPIP-120
Express childlike joy.,E,Cheerfulness,1,False,True,IPIP-300
Laugh my way through life.,E,Cheerfulness,1,False,True,IPIP-300
Have a vivid imagination.,O,Imagination,1,False,True,IPIP-120
Enjoy wild flights of fantasy.,O,Imagination,1,False,True,IPIP-120
Love to daydream.,O,Imagination,1,False,True,IPIP-120
Seldom daydream.,O,Imagination,1,True,True,IPIP-300
Do not have a good imagination.,O,Imagination,1,True,True,IPIP-300
Seldom get lost in thought.,O,Imagination,1,True,True,IPIP-300
Have difficulty imagining things.,O,Imagination,1,True,True,IPIP-300
Believe in the importance of art.,O,Artistic Interests,1,False,True,IPIP-120
See beauty in things that others might not notice.,O,Artistic Interests,1,False,True,IPIP-120
Like music.,O,Artistic Interests,1,False,True,IPIP-300
Do not like poetry.,O,Artistic Interests,1,True,True,IPIP-120
Do not enjoy going to art museums.,O,Artistic Interests,1,True,True,IPIP-120
Do not like art.,O,Artistic Interests,1,True,True,IPIP-300
Do not like concerts.,O,Artistic Interests,1,True,True,IPIP-300
Experience my emotions intensely.,O,Emotionality,1,False,True,IPIP-120
Feel others' emotions.,O,Emotionality,1,False,True,IPIP-120
Am passionate about causes.,O,Emotionality,1,False,True,IPIP-300
Rarely notice my emotional reactions.,O,Emotionality,1,True,True,IPIP-120
Don't understand people who get emotional.,O,Emotionality,1,True,True,IPIP-120
Seldom get emotional.,O,Emotionality,1,True,True,IPIP-300
Am not easily affected by my emotions.,O,Emotionality,1,True,True,IPIP-300
Prefer variety to routine.,O,Adventurousness,1,False,True,IPIP-120
Like to visit new places.,O,Adventurousness,1,False,True,IPIP-300
Am interested in many things.,O,Adventurousness,1,False,True,IPIP-300
Prefer to stick with things that I know.,O,Adventurousness,1,True,True,IPIP-120
Dislike changes.,O,Adventurousness,1,True,True,IPIP-120
Am attached to conventional ways.,O,Adventurousness,1,True,True,IPIP-120
Don't like the idea of change.,O,Adventurousness,1,True,True,IPIP-300
Love to read challenging material.,O,Intellect,1,False,True,IPIP-120
Like to solve complex problems.,O,Intellect,1,False,True,IPIP-300
Have a rich vocabulary.,O,Intellect,1,False,True,IPIP-300
Avoid philosophical discussions.,O,Intellect,1,True,True,IPIP-120
Have difficulty understanding abstract ideas.,O,Intellect,1,True,True,IPIP-120
Am not interested in theoretical discussions.,O,Intellect,1,True,True,IPIP-120
Tend to vote for liberal political candidates.,O,Liberalism,1,False,True,IPIP-120
